experiment_id,alias_ids,seed,n_events,n_windows,MAE_event_mean,RMSE_event_mean,SSIM_event_mean_mean,config_sha256,checkpoint_sha256,git_commit,mode,CSI_event_macro@5mmh,POD_event_macro@5mmh,FAR_event_macro@5mmh,HSS_event_macro@5mmh,ACC_event_macro@5mmh,BIAS_event_macro@5mmh,CSI_event_macro@10mmh,POD_event_macro@10mmh,FAR_event_macro@10mmh,HSS_event_macro@10mmh,ACC_event_macro@10mmh,BIAS_event_macro@10mmh,CSI_event_macro@20mmh,POD_event_macro@20mmh,FAR_event_macro@20mmh,HSS_event_macro@20mmh,ACC_event_macro@20mmh,BIAS_event_macro@20mmh,CSI_event_macro@30mmh,POD_event_macro@30mmh,FAR_event_macro@30mmh,HSS_event_macro@30mmh,ACC_event_macro@30mmh,BIAS_event_macro@30mmh
B1_trajgru,,42,7,1266,0.2332007103049345,0.8935367958375073,0.9380130764634814,fd3cad486d51cda30ecff1cc24d1fcfd29074194cb0c5e5738d590873be750c7,a6868b9987638a6ce87d138eadbec5eb8af718b58ab31ce0a587e31923dd14ec,1391b2d2149eb2445cc0872707320817768e36cc,train,0.15019836522185734,0.2797176355102911,0.638197343240379,0.21617600049985164,0.991842178268051,1.8676870439974949,0.2393007938929752,0.26831664462489513,0.2508578597322652,0.3581246073605018,0.997205453995376,0.3589388540635002,0.17565128908271085,0.20801263563451675,0.35679492456059103,0.28673963500848615,0.9990663514680849,0.34225283481665536,0.10779776232142446,0.12432814132086305,0.4418183458926773,0.18478111857767085,0.999575633081318,0.2236837885487093
E0_persistence,I0,42,7,1266,0.13804340502259138,0.5762999702994195,0.9775134367323065,b448788d0a2fab167f7c57f37e60ba012b314dc8f9300ce2f5973a885fd0404b,n/a,1391b2d2149eb2445cc0872707320817768e36cc,train,0.39865654163633973,0.5219278616933141,0.45993171473005007,0.5235327764575646,0.9922781988681745,0.9837020303047983,0.3003838309741841,0.42150633898794354,0.5704058215982991,0.42268583048166525,0.9968775838673426,1.1130087198201155,0.29249896961914,0.4476025628013826,0.5444758610926256,0.4502696318136888,0.9989407042052044,0.9833769249962286,0.16533249706805042,0.26776188817493884,0.731353748647147,0.2675710788384374,0.9994947430457248,1.022677371416228
E1_plain_convlstm,I1,42,7,1266,0.23763699642169747,0.8831448160975811,0.9355026320112702,42c5f8bcbf45731ed3483b7f1ed1582258312a807c550912aa763a795fddcaa1,5da423623f8e0ef43dbe8ec4c18efb2d5d9725c52cac46c48693a7b1320afab7,1391b2d2149eb2445cc0872707320817768e36cc,train,0.0,0.0,nan,0.0,0.9887282254577551,0.0,0.0,0.0,nan,0.0,0.9963754977058251,0.0,0.0,0.0,nan,0.0,0.9989723462972625,0.0,0.0,0.0,nan,0.0,0.9995597100688741,0.0
E2_resconvlstm,I2,42,7,1266,0.13126076434664308,0.5035818882498728,0.9797649379079532,59a1dee37a1cd2afb1e4210b4099ccba4f41c16c9e39ffd0cd7d8df11143c222,3263e135ba8312da7fd4451c261936cb4189c56a2b496d57ac62c1e968d51934,1391b2d2149eb2445cc0872707320817768e36cc,validate-only,0.4050610144952198,0.5024736938266968,0.45159208128124073,0.5174989982782326,0.9929303581320709,0.7352392809738786,0.3112915191316763,0.39204469516677354,0.3375614955107316,0.4345861133651866,0.9972015137404941,0.5927872372709229,0.23120750030752232,0.2805826694946511,0.39879292128898136,0.37153840651984477,0.999060617757648,0.47564093681804054,0.11882244523721723,0.13916564759074698,0.4501634656623305,0.201294735795679,0.999574095459236,0.2532501946020062
E3_resconvlstm_cma,I3,42,7,1266,0.1426843361676365,0.517185194114526,0.9788840863517473,292458cab77005bbdd3f76f6396f0d8ec4e0ee746a1673e869881265534ec807,c03e77bb5138c8cc35a200a8135873c06a6cef434f276ac0a2477868e1c494be,1391b2d2149eb2445cc0872707320817768e36cc,train,0.4246442543755163,0.5165642583783765,0.3545414930067752,0.5416747482127723,0.9932001864806307,0.7017609682179011,0.32950154735915493,0.409182573876389,0.31916036496396194,0.45109975648307593,0.9973039587946778,0.5981782952497663,0.26198520772180683,0.3143625420354585,0.38125709797275115,0.41255753350502483,0.9990823347691548,0.5107581932324624,0.09954155847667116,0.11311000731146532,0.43971313299241005,0.1725270538550553,0.9995766018933221,0.20211751527769925
E4_static_terrain,I4,42,7,1266,0.14048260083471079,0.5158475067051498,0.9793536802064715,c3786987dcb919ac792cf948c21da78d13b5300c5bb3a69c7fb1eb86d09ef24e,0531fc31072b239541be546e77715773949f0cb7652edea4ea539f1ce49df9cd,1391b2d2149eb2445cc0872707320817768e36cc,train,0.41796000684619794,0.5092624213852822,0.38853934834996734,0.5358590960691718,0.9930668333674328,0.710843017375493,0.3237759880182872,0.40441950969424345,0.32363499469955187,0.44570988401527084,0.9972325487523029,0.5985375489182231,0.19634922144883324,0.2372143712201116,0.3869643550532307,0.31826477032837314,0.9990666403292396,0.40043925576395806,0.09434001363752875,0.10595841874863383,0.4275277268591172,0.164742574748078,0.9995744000478586,0.18629736382149673
E5_terrain_geometry,I5|P0,42,7,1266,0.14291695355795248,0.5187536289398716,0.9790396675358999,5186d51073c8798f65b29124a63623b0091ca4652998f5d457b9ab778d8466ce,95013e4dc5a529de08b96bcc824985cfd955cc3c35c3b8f8f104ee2759afa7f9,1391b2d2149eb2445cc0872707320817768e36cc,train,0.422011476382706,0.5156349522386473,0.3984057304871313,0.5391238608148955,0.9931921606186259,0.7268499212368853,0.32162223613017227,0.39901256513003924,0.32126780449161235,0.4440227843018162,0.9972864688022122,0.585718188191118,0.23474753782331229,0.28262903298083086,0.3851160428797053,0.3766197301607824,0.9990756332952115,0.47039436579092947,0.11802353312447378,0.13807843987001964,0.4490788888354534,0.200019424086732,0.9995772294192792,0.25068086086807545
P1_resconvlstm_smooth,P1,42,7,1266,0.12271789821273187,0.4994446950344074,0.9805853623116396,dec2fe0f45d02f82c458e7766811827bbf6fa31f791af7646206589acb58f173,45c2fb8157f8c5531d6ed69c6197e9dc1a75ac3e1b45e21c9fe9356dfd43610e,1391b2d2149eb2445cc0872707320817768e36cc,train,0.41457411249905657,0.49627277909069345,0.37902762717395044,0.5331721155599467,0.9932590927465732,0.6803156793380034,0.3163775267902323,0.3884807689916222,0.31332049321297545,0.43901716218954995,0.9973093014154204,0.563536949236755,0.2537467850471482,0.30566071857019844,0.37841235163690307,0.4022085879030107,0.9990799997644654,0.5002359464846682,0.12100115748752072,0.14281519125009742,0.456355503984302,0.20422443888386102,0.9995782606169046,0.262378132867245
E6_terrain_extreme,P2,42,7,1266,0.35323280297109605,0.8308271317685588,0.901281585919025,9ecb16dba0e6d5a0a4307a3e946b82ac980540e64d0b75fc9b744318f1018940,d277444b03f34aac366108008a0e181f4b1c5d4a7dc3f76af1877d998207982f,1391b2d2149eb2445cc0872707320817768e36cc,train,0.3591489484890379,0.6359569051665932,0.5751094400452527,0.47870131360216184,0.9846521469311266,1.3697581799325824,0.2678941388658278,0.5682865186008221,0.7020238492354072,0.38635450729882465,0.9945586093571948,1.694547186135017,0.30028399581287846,0.4636945979613772,0.5416002254918805,0.4595678919529596,0.9989398790374046,1.0106573421940939,0.15342698358774967,0.21574468427776142,0.705580257538089,0.24822352864398903,0.9995373823073758,0.5887654348318018
P3_resconvlstm_smooth_extreme,P3,42,7,1266,0.22282495460437465,0.6708101472983693,0.9549569504490609,5d68c08857c5937e42828f66d67ec1ef2372024a5e66bfe450b59d6adf1e0483,6d7de4f549d2b18dac597e34e443ceb1f76c340fddc2f2ea31ed0ea0c0c41bbd,1391b2d2149eb2445cc0872707320817768e36cc,train,0.3703627022833885,0.6130915811146497,0.567245945155774,0.4863334520756695,0.987301509925829,1.2263161807288792,0.26558657408086356,0.5698522776433235,0.7055360902118338,0.38309762535832687,0.9942681568024574,1.6017343779145903,0.30037501617249723,0.48884701466337394,0.5628845518177717,0.4597046261293378,0.9988906038329256,1.1170105457016721,0.15404121721842565,0.2190893315340208,0.7094120802164067,0.24894397281541844,0.9995327767806144,0.6024361554373341
